GeneName	GFOLD(0.01)	1stRPKM
s21_733193_length_280_cvg_43.5_tip_1	-0.809985	5.1495
s21_738817_length_287_cvg_12.5_tip_1	-0.670271	2.67941
s21_749689_length_302_cvg_60.2_tip_1	-0.567405	2.38719
s21_751454_length_304_cvg_8.9_tip_1	-0.456808	2.21338
s21_752807_length_307_cvg_109.4_tip_0	-0.866604	10.3325
s21_763215_length_323_cvg_105.3_tip_1	-0.497631	12.0527
s21_763433_length_323_cvg_39.0_tip_1	-1.47754	5.50555
s21_765469_length_327_cvg_126.7_tip_0	-1.05531	19.2542
s21_767686_length_331_cvg_17.7_tip_1	-0.567405	2.17804
s21_767762_length_331_cvg_36.2_tip_1	-1.36805	3.63006
s21_772196_length_339_cvg_56.4_tip_1	-1.0219	2.83552
s21_776470_length_347_cvg_61.8_tip_0	-0.391101	8.86446
s21_776688_length_348_cvg_35.2_tip_1	-0.0592679	6.62924
s21_777228_length_349_cvg_28.3_tip_1	-0.0646042	1.51485
s21_777982_length_350_cvg_28.8_tip_1	-3.3834	13.1827
s21_780230_length_355_cvg_70.4_tip_1	-0.0998971	3.52003
s21_782426_length_360_cvg_10.0_tip_1	-0.456808	1.86908
s21_783230_length_362_cvg_88.7_tip_1	-0.246513	4.64688
s21_787636_length_372_cvg_14.7_tip_1	-0.8566	2.32558
s21_789838_length_377_cvg_23.9_tip_1	-1.17036	2.80468
s21_792090_length_382_cvg_13.2_tip_1	-0.567405	1.88725
s21_792136_length_383_cvg_59.9_tip_1	-0.618743	8.28222
s21_793418_length_386_cvg_22.5_tip_1	-1.0219	2.49026
s21_795800_length_392_cvg_56.8_tip_1	-3.48554	36.0465
s21_796584_length_394_cvg_60.9_tip_1	-0.12007	14.8821
s21_798729_length_400_cvg_16.9_tip_1	-0.567405	1.80232
s21_798763_length_400_cvg_33.6_tip_1	-2.19201	5.16666
s21_800202_length_404_cvg_99.4_tip_1	-0.00611782	27.2431
s21_801600_length_407_cvg_41.8_tip_1	-3.15159	13.344
s21_801742_length_408_cvg_52.0_tip_1	-0.135101	5.06536
s21_802148_length_409_cvg_8.4_tip_1	-0.670271	1.88018
