GeneName	GFOLD(0.01)	1stRPKM
s21_641841_length_200_cvg_21.9_tip_1	0	0
s21_642031_length_200_cvg_4.6_tip_1	0	0
s21_642077_length_200_cvg_2.2_tip_1	0	0
s21_642431_length_200_cvg_11.4_tip_0	0	0.24031
s21_642481_length_200_cvg_18.1_tip_1	0	0.24031
s21_642593_length_200_cvg_2.3_tip_1	0	0
s21_642735_length_200_cvg_7.2_tip_1	0	0
s21_642964_length_200_cvg_3.8_tip_1	0	0
s21_643266_length_201_cvg_5.9_tip_1	0	0
s21_643354_length_201_cvg_13.7_tip_1	0	0
s21_643896_length_201_cvg_5.3_tip_1	0	0
s21_644114_length_201_cvg_2.0_tip_1	0	0
s21_644186_length_201_cvg_5.4_tip_1	0	0.239114
s21_644354_length_201_cvg_5.8_tip_1	0	0.478229
s21_644410_length_201_cvg_2.8_tip_1	0	0
s21_644462_length_201_cvg_2.1_tip_1	0	0
s21_644492_length_201_cvg_5.7_tip_1	0	0
s21_644496_length_201_cvg_2.7_tip_1	0	0
s21_644648_length_201_cvg_2.6_tip_1	0	0.239114
s21_644862_length_202_cvg_5.2_tip_1	0	0
s21_644990_length_202_cvg_4.0_tip_1	0	0
s21_645062_length_202_cvg_2.4_tip_1	0	0
t25_c73713_g1_i1	7.93232	0.300723
s21_645483_length_202_cvg_3.0_tip_1	0	0
s21_646109_length_202_cvg_2.0_tip_1	0	0
s21_646157_length_202_cvg_8.2_tip_1	0	0
s21_647037_length_203_cvg_2.2_tip_1	0	0
s21_647285_length_203_cvg_2.0_tip_1	0	0.236759
s21_648626_length_204_cvg_7.0_tip_1	0	0
s21_648790_length_204_cvg_5.8_tip_1	0	0
s21_649054_length_204_cvg_3.1_tip_1	0	0
s21_649184_length_204_cvg_2.0_tip_1	0	0.235598
s21_649230_length_204_cvg_4.1_tip_1	0	0.706794
s21_649414_length_204_cvg_2.0_tip_1	0	0.235598
s21_649790_length_205_cvg_78.6_tip_1	0	0.468897
s21_649958_length_205_cvg_7.0_tip_1	0	0
s21_649974_length_205_cvg_24.4_tip_1	0	0
s21_650088_length_205_cvg_8.3_tip_1	0	0
s21_650090_length_205_cvg_6.0_tip_1	0	0
s21_650582_length_205_cvg_2.0_tip_1	0	0
s21_650704_length_205_cvg_9.8_tip_1	0	0
s21_650848_length_205_cvg_2.3_tip_1	0	0
s21_651054_length_205_cvg_2.6_tip_1	0	0
s21_651062_length_205_cvg_2.0_tip_1	0	0
