GeneName	GFOLD(0.01)	1stRPKM
t25_c73713_g1_i1	7.93232	0.300723
v61_NODE_110545_length_1008_cov_19.945436	7.79388	0
v71_NODE_69535_length_2343_cov_12.729834	7.6538	0.0995897
s31_747346_length_1798_cvg_185.9_tip_0	7.58962	0.0267308
s21_844779_length_603_cvg_243.6_tip_0	7.57631	0.15941
t25_c72938_g3_i12	7.49688	0.973864
v61_NODE_110603_length_1263_cov_20.181314	7.39438	0.036328
s21_874375_length_978_cvg_45.1_tip_1	7.28644	3.44002
v81_NODE_72178_length_775_cov_8.310967	7.17005	0.112426
s71_191716_length_778_cvg_8.3_tip_1	7.12685	0.0617763
t25_c68901_g1_i12	6.88228	0.639033
s31_748992_length_1939_cvg_123.4_tip_0	6.85509	0.148722
s71_198614_length_917_cvg_5.9_tip_1	6.70903	0.314473
v71_NODE_69743_length_1547_cov_11.601810	6.63716	0.386398
s41_579864_length_2011_cvg_93.1_tip_0	6.55464	0.119498
v61_NODE_110554_length_829_cov_12.511459	6.54946	0.054063
v61_NODE_9088_length_395_cov_15.632912	6.52627	1.26757
v71_NODE_69621_length_1254_cov_16.403509	6.51879	0.326705
s71_191002_length_768_cvg_6.3_tip_1	6.46325	0.563226
v51_NODE_188638_length_485_cov_10.255671	6.43114	0.0898355
t25_c60239_g1_i2	6.37243	0.156758
t25_c64620_g3_i2	6.32082	4.64655
t25_c60241_g2_i6	6.25583	0.383103
s61_357066_length_2423_cvg_15.7_tip_1	6.09966	0.218193
t25_c71306_g3_i2	6.08868	0.0569455
s71_173662_length_575_cvg_7.0_tip_1	5.9805	0
t25_c61227_g2_i3	5.9512	2.51584
v71_NODE_69726_length_1144_cov_8.713286	5.94568	0.0791796
v41_NODE_341733_length_3244_cov_20.525278	5.81187	0.0146352
v51_NODE_183907_length_879_cov_27.965870	5.74428	0.362146
t25_c73294_g1_i4	5.72418	0.638395
t25_c66449_g1_i1	5.71072	0.0859017
t25_c71425_g3_i1	5.70707	5.49729
v71_NODE_62470_length_598_cov_8.806020	5.6912	0.0719491
t25_c73294_g1_i2	5.62946	0.912858
t25_c32324_g1_i1	5.52785	0.068367
v71_NODE_49109_length_4324_cov_15.304348	5.51688	6.86912
t25_c61741_g2_i4	5.51319	0.219662
s31_727199_length_993_cvg_35.6_tip_1	5.51106	1.74243
t25_c68023_g2_i3	5.49245	0.140875
t25_c59813_g1_i2	5.49129	0.182226
s71_205268_length_1144_cvg_11.0_tip_1	5.45624	4.53732
t25_c73700_g1_i1	5.45383	0.247317
t25_c69370_g1_i1	5.42098	17.5989
v71_NODE_69727_length_933_cov_10.614148	5.41288	0.0958365
v61_NODE_110780_length_540_cov_14.231482	5.40069	0
s21_837568_length_555_cvg_169.9_tip_1	5.3977	0.173196
t25_c71392_g1_i9	5.36838	4.01573
s21_870195_length_893_cvg_30.4_tip_1	5.33632	0
t25_c67603_g2_i2	5.33175	3.38415
v71_NODE_68537_length_2175_cov_16.551723	5.31939	0.299718
s71_145528_length_420_cvg_9.1_tip_1	5.31675	1.14433
s71_170526_length_551_cvg_12.8_tip_1	5.30808	0.348907
t25_c70210_g3_i3	5.2961	0.536257
v71_NODE_69213_length_1459_cov_15.651131	5.29257	8.07844
v61_NODE_86470_length_751_cov_17.331558	5.2656	13.6304
s61_337566_length_951_cvg_20.2_tip_1	5.24435	1.11184
v61_NODE_110781_length_1247_cov_11.753809	5.24203	0.0735455
t25_c61688_g1_i3	5.23752	13.6456
s61_352963_length_1632_cvg_15.3_tip_1	5.23176	2.44433
t25_c69961_g1_i2	5.22424	0.247913
v71_NODE_18110_length_1277_cov_15.136257	5.2014	0.963381
t25_c65905_g1_i3	5.15072	1.30954
t25_c67980_g1_i2	5.13484	5.52063
v51_NODE_115622_length_1915_cov_24.173368	5.11602	0.856066
v81_NODE_71337_length_497_cov_8.400402	5.11534	0.499778
t25_c71770_g1_i8	5.09701	17.4155
v81_NODE_66697_length_576_cov_10.802083	5.09481	8.05918
t25_c58974_g1_i6	5.07776	0.830383
t25_c58167_g1_i2	5.03045	0.34936
v51_NODE_77415_length_573_cov_31.869110	5.02781	0.848607
s51_549103_length_2048_cvg_29.5_tip_1	5.02745	0.657098
s71_178072_length_614_cvg_6.5_tip_1	4.99081	0.0782769
s61_330152_length_811_cvg_16.0_tip_1	4.94914	40.1801
v71_NODE_34535_length_1530_cov_14.286275	4.94794	1.08139
s41_546899_length_809_cvg_33.9_tip_1	4.94542	0.237637
t25_c65001_g1_i6	4.94277	5.54906
t25_c71955_g1_i8	4.9398	2.55448
s21_789730_length_376_cvg_83.9_tip_1	4.9342	5.62428
s31_746010_length_1695_cvg_42.6_tip_1	4.91833	0.425327
s41_585824_length_4893_cvg_40.6_tip_1	4.91733	0.707227
s51_546357_length_1738_cvg_25.3_tip_1	4.88531	10.2042
s21_891955_length_1861_cvg_52.8_tip_1	4.87986	7.12795
t25_c72471_g1_i5	4.87031	2.3053
s71_182978_length_662_cvg_9.6_tip_1	4.85566	1.52463
t25_c68920_g1_i1	4.8411	3.22065
t25_c72688_g1_i7	4.79908	1.19092
s21_866169_length_826_cvg_39.8_tip_1	4.778	0.290932
t25_c69033_g1_i4	4.77271	4.21971
t25_c63083_g7_i6	4.77077	7.16341
s61_336192_length_920_cvg_17.8_tip_1	4.74398	2.4031
t25_c69080_g3_i4	4.74391	1.14698
s31_708120_length_708_cvg_46.6_tip_1	4.73927	46.7722
v71_NODE_32828_length_1795_cov_15.382730	4.73386	1.23698
t25_c69523_g1_i4	4.73158	39.063
s41_575626_length_1653_cvg_34.1_tip_1	4.71845	7.67596
s41_577570_length_1788_cvg_20.0_tip_1	4.71513	0.0268803
s21_895831_length_2859_cvg_14.0_tip_1	4.68099	0
t25_c66351_g1_i9	4.64679	0.72532
s21_880049_length_1136_cvg_34.1_tip_1	4.62006	1.65002
v71_NODE_53672_length_1863_cov_17.059044	4.60704	1.66588
s71_190890_length_766_cvg_6.7_tip_1	4.60099	3.57641
v71_NODE_36527_length_2606_cov_12.122026	4.57323	1.0417
v61_NODE_110736_length_843_cov_10.284698	4.56093	0.0532248
t25_c65117_g3_i2	4.54988	0.0489679
s61_295901_length_501_cvg_12.5_tip_1	4.54836	0
s61_352273_length_1572_cvg_19.0_tip_1	4.54384	3.82172
s21_835700_length_544_cvg_63.5_tip_0	4.52474	0.353397
s61_353011_length_1639_cvg_15.9_tip_1	4.51855	0.791747
t25_c70029_g1_i6	4.51793	0.634321
v71_NODE_60310_length_1108_cov_13.337545	4.50164	16.4015
v61_NODE_108248_length_288_cov_13.142361	4.47051	0.138109
v61_NODE_109439_length_1173_cov_12.798806	4.47051	0
s31_742454_length_1490_cvg_38.6_tip_1	4.4607	0.612871
t25_c69299_g1_i3	4.45242	19.4884
t25_c63083_g5_i1	4.4459	6.29527
s51_540035_length_1337_cvg_33.8_tip_1	4.4414	2.58823
v61_NODE_109059_length_918_cov_12.937908	4.43899	5.55317
t25_c27969_g1_i2	4.43778	1.01934
t25_c53828_g1_i3	4.43631	26.0073
t25_c69909_g2_i3	4.42059	1.79442
v71_NODE_36215_length_1162_cov_13.435456	4.41821	4.40828
t25_c69329_g1_i11	4.41246	1.07281
