locus_tag	ftype	length_bp	gene	EC_number	COG	product
AABHNHAC_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
AABHNHAC_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
AABHNHAC_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
AABHNHAC_00004	CDS	297				hypothetical protein
AABHNHAC_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
AABHNHAC_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
AABHNHAC_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
AABHNHAC_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
AABHNHAC_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
AABHNHAC_00010	CDS	714				hypothetical protein
AABHNHAC_00011	CDS	405				hypothetical protein
AABHNHAC_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
AABHNHAC_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
AABHNHAC_00014	CDS	1113			COG3385	IS4 family transposase IS421
AABHNHAC_00015	CDS	141				hypothetical protein
AABHNHAC_00016	CDS	153	hokC_1			Toxic protein HokC
AABHNHAC_00017	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
AABHNHAC_00018	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
AABHNHAC_00019	CDS	378			COG1662	IS1 family transposase IS1A
AABHNHAC_00020	CDS	276			COG1662	IS1 family transposase IS1A
AABHNHAC_00021	CDS	264	rpsT		COG0268	30S ribosomal protein S20
AABHNHAC_00022	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
AABHNHAC_00023	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
AABHNHAC_00024	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
AABHNHAC_00025	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
AABHNHAC_00026	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
AABHNHAC_00027	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
AABHNHAC_00028	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
AABHNHAC_00029	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
AABHNHAC_00030	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
AABHNHAC_00031	CDS	396				hypothetical protein
AABHNHAC_00032	CDS	591	yrdA_1		COG0663	Protein YrdA
AABHNHAC_00033	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
AABHNHAC_00034	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
AABHNHAC_00035	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
AABHNHAC_00036	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
AABHNHAC_00037	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
AABHNHAC_00038	CDS	771	fixA_1		COG2086	Protein FixA
AABHNHAC_00039	CDS	942	fixB_1		COG2025	Protein FixB
AABHNHAC_00040	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
AABHNHAC_00041	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
AABHNHAC_00042	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
